Time,"(0, 0)","(50, 0)","(100, 0)","(0, 100)"
0.1,0.28360849854875037,0.07361035212090153,0.005542274602851433,0.014512732021941291
1.0,0.699713290021718,0.4097890336538802,0.1999661326218646,0.22409375850598937
2.0,0.8350587012684443,0.5392227346675167,0.3132222787661915,0.33781412487429663
5.0,1.015805574088969,0.7163263976443062,0.4798594008344197,0.5045975336710975
10.0,1.1531863001172145,0.8524762687012927,0.612385029051517,0.6371454264502867
20.0,1.2908248990601277,0.989496315028948,0.747566698929364,0.7723327919106965
50.0,1.4729598327181268,1.171259111837251,0.9282179536987689,0.9529856607585694
100.0,1.6108052901833347,1.3089803557001178,1.065567254525139,1.0903351936482188
200.0,1.7486766400592548,1.4467895672363362,1.2031902256898301,1.227958222962787
500.0,1.9309513477821962,1.6290269818644174,1.385315809942877,1.4100838235175226
